llm,domain,speech_complexity,success,num_simulations,mean_duration,std_duration,median_duration,outcome
openai:gpt-realtime-1.5,retail,regular,True,50,645.95,290.75,554.38,success
openai:gpt-realtime-1.5,telecom,control,False,82,513.64,167.9,463.83,failure
openai:gpt-realtime-1.5,telecom,control,True,32,405.36,186.43,363.78,success
openai:gpt-realtime-1.5,telecom,regular,False,90,952.07,350.45,892.37,failure
openai:gpt-realtime-1.5,telecom,regular,True,24,571.51,236.32,582.29,success
openai:gpt-realtime-2025-08-28,airline,control,False,28,311.96,191.83,283.03,failure
openai:gpt-realtime-2025-08-28,airline,control,True,22,226.28,96.56,233.99,success
openai:gpt-realtime-2025-08-28,airline,regular,False,28,414.62,194.35,439.57,failure
openai:gpt-realtime-2025-08-28,airline,regular,True,22,330.35,97.95,320.01,success
openai:gpt-realtime-2025-08-28,retail,control,False,53,308.62,122.78,283.92,failure
openai:gpt-realtime-2025-08-28,retail,control,True,61,257.18,95.17,248.2,success
openai:gpt-realtime-2025-08-28,retail,control_accents,False,58,318.28,104.49,301.35,failure
openai:gpt-realtime-2025-08-28,retail,control_accents,True,56,268.33,113.03,240.83,success
openai:gpt-realtime-2025-08-28,retail,control_audio,False,60,291.67,116.25,265.77,failure
openai:gpt-realtime-2025-08-28,retail,control_audio,True,54,259.45,111.5,232.45,success
openai:gpt-realtime-2025-08-28,retail,control_behavior,False,62,310.11,101.52,292.35,failure
openai:gpt-realtime-2025-08-28,retail,control_behavior,True,52,268.53,90.32,264.48,success
openai:gpt-realtime-2025-08-28,retail,regular,False,76,375.69,180.94,344.03,failure
openai:gpt-realtime-2025-08-28,retail,regular,True,38,356.12,164.98,306.31,success
openai:gpt-realtime-2025-08-28,telecom,control,False,86,531.95,280.51,556.02,failure
openai:gpt-realtime-2025-08-28,telecom,control,True,28,367.39,164.93,362.15,success
openai:gpt-realtime-2025-08-28,telecom,regular,False,85,772.89,395.58,723.73,failure
openai:gpt-realtime-2025-08-28,telecom,regular,True,29,566.86,312.51,463.19,success
xai:xai-realtime,airline,control,False,27,471.61,232.42,437.17,failure
xai:xai-realtime,airline,control,True,23,345.77,183.69,306.89,success
xai:xai-realtime,airline,regular,False,32,833.25,495.78,760.09,failure
xai:xai-realtime,airline,regular,True,18,618.48,233.09,588.94,success
xai:xai-realtime,retail,control,False,59,582.53,276.74,576.47,failure
xai:xai-realtime,retail,control,True,55,548.16,182.66,529.72,success
xai:xai-realtime,retail,control_accents,False,81,678.41,266.72,721.36,failure
xai:xai-realtime,retail,control_accents,True,33,550.64,173.61,523.51,success
xai:xai-realtime,retail,control_audio,False,63,589.72,276.44,589.01,failure
xai:xai-realtime,retail,control_audio,True,51,530.99,174.92,500.07,success
xai:xai-realtime,retail,control_behavior,False,56,797.02,453.28,702.55,failure
xai:xai-realtime,retail,control_behavior,True,58,791.27,281.67,789.64,success
xai:xai-realtime,retail,regular,False,72,1098.3,548.49,1193.02,failure
xai:xai-realtime,retail,regular,True,42,936.05,344.62,963.25,success
xai:xai-realtime,telecom,control,False,48,924.27,132.55,968.61,failure
xai:xai-realtime,telecom,control,True,66,534.67,267.0,570.66,success
xai:xai-realtime,telecom,regular,False,68,1438.21,260.87,1465.12,failure
xai:xai-realtime,telecom,regular,True,46,675.66,384.21,654.89,success
