action_name,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),OVERALL
check_apn_settings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toggle_data_saver_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toggle_roaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can_send_mms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toggle_wifi_calling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reset_apn_settings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reseat_sim_card,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
update_reservation_flights,0.17391304347826086,0.0,0.0,0.0,0.04166666666666663,0.9411764705882353,0.0,0.0,0.0,0.8823529411764706,1.0,0.0,0.0,0.0,1.0,0.46218487394957986
find_user_id_by_email,0.48888888888888893,0.5348837209302326,0.3555555555555555,0.4285714285714286,0.37777777777777777,0.6875,0.5454545454545454,0.6363636363636364,0.6774193548387097,0.59375,0.41666666666666663,0.23333333333333328,0.37142857142857144,0.5,0.24390243902439024,0.4646643109540636
book_reservation,0.1875,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.75,0.6666666666666667,0.0,0.0,0.0,1.0,0.5263157894736843
find_user_id_by_name_zip,0.5887096774193548,0.6134453781512605,0.5073529411764706,0.5441176470588236,0.3733333333333333,0.898989898989899,0.7941176470588236,0.8095238095238095,0.8285714285714285,0.5503875968992248,0.5035460992907801,0.2561576354679803,0.49006622516556286,0.4930555555555556,0.2564102564102564,0.5277096615988229
update_reservation_passengers,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6
modify_pending_order_payment,1.0,0.5,0.5,0.5,0.0,0.6666666666666667,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666667
get_customer_by_phone,0.8782608695652174,0.0,0.0,0.0,0.7130434782608696,0.9316239316239316,0.0,0.0,0.0,0.75177304964539,0.6451612903225806,0.0,0.0,0.0,0.33333333333333337,0.7031039136302294
modify_pending_order_items,0.4878048780487805,0.475,0.8461538461538461,0.65,0.6923076923076923,0.7560975609756098,0.8055555555555556,0.8717948717948718,0.6666666666666667,0.8260869565217391,1.0,0.9285714285714286,1.0,0.88,1.0,0.7545045045045045
exchange_delivered_order_items,0.6428571428571428,0.6363636363636364,0.37142857142857144,0.75,0.3928571428571429,0.8421052631578947,0.875,0.84375,0.7878787878787878,0.92,0.9583333333333334,0.9090909090909091,0.9473684210526316,0.8928571428571429,0.875,0.7560975609756098
get_item_details,0.6666666666666667,0.8571428571428572,0.5555555555555556,1.0,0.9285714285714286,1.0,1.0,0.8,0.6666666666666667,0.75,0.6666666666666667,0.8,1.0,0.8333333333333334,0.6,0.7816901408450705
return_delivered_order_items,0.6739130434782609,0.6,0.7058823529411764,0.6956521739130435,0.6551724137931034,0.9111111111111111,0.9166666666666666,0.8947368421052632,0.8888888888888888,0.875,0.8484848484848485,0.8888888888888888,0.8571428571428572,0.8125,0.8947368421052632,0.789272030651341
get_user_details,0.8054029304029304,0.9764705882352941,1.0,0.9879518072289156,0.7916666666666666,0.9019607843137255,1.0,1.0,1.0,0.7605633802816901,0.5415214866434379,0.8493150684931507,0.8977272727272727,0.9565217391304348,0.48375812093953025,0.7938547486033519
cancel_reservation,0.6,0.0,0.0,0.0,0.7666666666666666,1.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,1.0,0.8076923076923077
get_reservation_details,0.974025974025974,0.0,0.0,0.0,0.9,0.9523809523809523,0.0,0.0,0.0,0.8549618320610687,0.7466666666666666,0.0,0.0,0.0,0.6,0.8645038167938931
send_certificate,1.0,0.0,0.0,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9333333333333333
cancel_pending_order,0.9130434782608696,0.9583333333333334,0.7428571428571429,0.9,0.8947368421052632,1.0,1.0,0.962962962962963,1.0,0.9583333333333334,1.0,1.0,1.0,0.9375,1.0,0.9384615384615385
update_reservation_baggages,1.0,0.0,0.0,0.0,1.0,0.8571428571428572,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9473684210526316
resume_line,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,1.0,0.9714285714285714
get_order_details,0.965034965034965,0.9761904761904762,0.9479166666666666,0.9748427672955975,0.9744680851063829,1.0,1.0,0.9926739926739927,1.0,0.9864864864864865,0.9817351598173516,0.9612903225806452,0.9809523809523809,0.9953488372093023,0.8797814207650273,0.9761711345789331
refuel_data,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9285714285714286,0.9830508474576272
modify_pending_order_address,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866071428571429
get_product_details,0.9696969696969697,0.972972972972973,0.9841269841269842,0.9953917050691244,0.9464285714285714,1.0,0.989247311827957,1.0,1.0,1.0,0.9753086419753086,1.0,1.0,0.9859154929577465,0.9710144927536232,0.9882260596546311
calculate,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9,1.0,0.0,1.0,1.0,0.9886363636363636
get_flight_status,0.9990069513406157,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.95,0.0,0.0,0.0,0.7142857142857143,0.9945553539019963
get_details_by_id,1.0,0.0,0.0,0.0,0.9230769230769231,1.0,0.0,0.0,0.0,0.9908256880733946,1.0,0.0,0.0,0.0,1.0,0.9969465648854962
get_data_usage,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
transfer_to_human_agents,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
list_all_airports,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
list_all_product_types,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
get_bills_for_customer,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
send_payment_request,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
search_onestop_flight,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
search_direct_flight,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
get_customer_by_name,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
enable_roaming,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
modify_user_address,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
