error_category,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),TOTAL
Error: Non-pending order cannot be modified,5,6,3,4,5,0,0,0,0,0,0,0,0,0,0,23
Error: Customer with phone number 555-123 not found,0,0,0,0,1,0,0,0,0,0,14,0,0,0,7,22
Error: Customer with phone number +1-555-123-2002 not found,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,20
Error: Tool 'reboot_device' not found.,7,0,0,0,12,0,0,0,0,1,0,0,0,0,0,20
Error: The new item id should be different from the old item,6,4,0,1,0,1,2,2,1,1,0,0,0,1,0,19
Error: Customer with phone number 5551232002 not found,0,0,0,0,0,8,0,0,0,7,0,0,0,0,4,19
Error: Tool 'check_app_permissions' not found.,9,0,0,0,9,0,0,0,0,1,0,0,0,0,0,19
Error: The number of items to be exchanged should match,3,3,0,4,3,2,0,1,2,0,0,0,0,0,0,18
Error: Non-pending order cannot be cancelled,2,1,7,3,2,0,0,0,0,0,0,0,0,1,0,16
Error: Customer with phone number 555-123-0002 not found,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,15
Error: User Sophia_Silva_7557 not found,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,15
Error: Customer with phone number unknown not found,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,14
Error: Product not found,1,2,1,1,3,0,0,0,0,0,2,0,0,1,2,13
Missing positional arguments,0,0,0,0,0,0,2,0,1,10,0,0,0,0,0,13
Error: Insufficient gift card balance to pay for the price d,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,11
Error: Customer with phone number 555-123-002 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,10
Error: Customer with phone number +15551232002 not found,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
Error: New item 3111466194 not found or available,0,1,0,0,0,2,2,2,2,1,0,0,0,0,0,10
Error: User Amelia_Davis_8890 not found,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,10
Error: User arav_garcia_1177 not found,4,0,0,0,2,0,0,0,0,0,3,0,0,0,0,9
Error: Customer with phone number 5555-123-2002 not found,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
Error: New item 3788616824 not found or available,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,9
Error: Tool 'check_data_restriction_status' not found.,4,0,0,0,4,0,0,0,0,1,0,0,0,0,0,9
Error: 1355937109 not found,1,2,0,0,1,1,0,0,4,0,0,0,0,0,0,9
Error: User arav_ahmed_6699 not found,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,8
Error: Tool 'toggle_wifi_calling' not found.,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,8
Error: User Anya_Garcia_5901 not found,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,8
Error: Customer with phone number 555-123-4567 not found,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,7
Error: User Noah_Muller_9847 not found,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,7
Error: User Sofia_Kim_7287 not found,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
Error: Insufficient gift card balance to pay for the order,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,6
Error: Tool 'disconnect_vpn' not found.,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,6
Error: User Omar_Rossi_1241 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6
Error: Payment method not found,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,6
Error: Some item not found,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6
Error: Number of 2216662955 not found.,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5
Error: Tool 'check_network_mode_preference' not found.,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
Error: Number of 5996159312 not found.,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,5
Error: Reservation IFOYVZ not found,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
Error: User Yara_Garcia_1905 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5
Error: Tool 'check_wifi_calling_status' not found.,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
Error: Tool 'grant_app_permission' not found.,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,5
Error: Reservation NQN5UR not found,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Error: Number of 3478699712 not found.,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4
Error: User Omar_Davis_3817 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4
Error: Reservation N2NU5R not found,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
Error: User anaya_garcia_5901 not found,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
Error: New item 6341716129 not found or available,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Error: Reservation HHQ05L not found,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
Error: Tool 'make_payment' not found.,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4
Error: Customer with phone number 555-123-200 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4
Error: Customer with phone number 555-1234 not found,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
Error: User Ethan_Martin_2396 not found,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4
Error: User Amelia_Sanchez_4739 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4
Error: User OLIVIA_GONZALEZ_2305 not found,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4
Error: User sofia_silva_7557 not found,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4
Error: User sara_cia_1905 not found,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Error: Reservation EHG5LP3 not found,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
Error: User yare_garcia_1905 not found,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Error: Reservation HXDWVJ not found,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3
Error: New item 4624254797 not found or available,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
Error: User Amelia_Sanchez_ not found,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
Error: User sophia_kim_7287 not found,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
Error: Customer with phone number (555) 123-2002 not found,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
Error: User may_brown_7075 not found,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
Error: Reservation YAX4ZR not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Error: Reservation NKNV5R not found,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Error: Customer with phone number 5551230002 not found,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Error: Customer with phone number 55551232002 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3
Error: User mohammad_hernandez_5188 not found,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Error: User AARAV_GARCIA_1177 not found,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Error: Customer with phone number  not found,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Error: Customer with phone number 555-123-2022 not found,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Error: Tool 'check_vpn_status' not found.,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
Error: Reservation EEP4E0 not found,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Error: User BTHAN_MARTIN_2396 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: User YARA_GARCIA_1905 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: Reservation 3RK not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: User Lucas_Brown_4047 not found,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Error: AirlineTools.cancel_reservation() got an unexpected k,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Error: User James_Lee_6136 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: Reservation EUJJUY6 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: User _garcia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: Reservation 3RK239 not found,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Error: User Olivia_Gonzalez_2305 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: User MAR_Rossi_1241 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: User James_Patel_9828 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: User James_Patel_828 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: User aarav_ahmad_6699 not found,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Error: User Ivan_Rossi_855 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: Reservation EHGPLP3 not found,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Error: User Mohamed_Silva_9265 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: Reservation HXDUJ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Error: 3 validation errors for Passenger
first_name
  Field ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Error: User Sophia_Kim_7287 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: Reservation XCHM4V not found,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Error: User Sophia_Martin_4574 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: Reservation VA5SDQ not found,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Error: User Mohamed_Hernandez_5188 not found,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Error: User ANYA_GARCIA_5901 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
Error: Reservation TEP4E0 not found,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Error: Reservation PEP4EZ not found,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Error: User RAJ_BROWN_5782 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: User AARAZ_AHMED_6699 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: User Alia_Cavis_8890 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: Reservation JMO not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: Reservation IFOYZ not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
Error: User Alla_Davis_8890 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: 3076708684 not found,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Error: Reservation IFOYS not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: Customer with phone number 123-456-7890 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Error: User James_Patel not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"Error: Payment amount does not add up, total price is 375, b",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Error: User arav_garcia not found,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Error: Customer with phone number 555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: User chem_lee_6825 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: New item 3778566150 not found or available,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Error: User emma_m not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: User mohammad_silva_9265 not found,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Error: Customer with phone number 555-123- not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: User sophia_martin not found,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Error: Customer with phone number 555-123-02 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: User mia_kim_4 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: Flight AT8045 not found,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Error: User sia_cim_7287 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: User mohamed_fernandes_5188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: Customer with phone number 555-123-2345 not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Error: Customer with phone number 212-555-01235 not found,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Error: Customer with phone number 555-1232 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: User sara_doe_496 not found,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Error: User rj_sanchez_7340 not found,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Error: 3 not found,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Error: User noah_miller_9847 not found,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Error: User sosa_kim_7287 not found,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Error: User mohammad_hernandez not found,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Error: 1656367028 not found,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
Error: Not enough balance in payment method gift_card_735977,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Error: Customer with phone number 551-123-2002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Error: Number of passengers does not match,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Error: Number of 6245746168 not found.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Error: User Lucas_Brown_Brown not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User OMAR_ROSSI_1241 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Noah_Nuller_9847 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User KIM_7287 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User KIKI_ULLE_1116 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User sia_ci_7287 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Jane's_underscore_Taylor_underscore_7043 not fou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User James_Taylor_7043 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User OMAR_DAVIS not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User si_filva_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User OPBIA_AY not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User schoolbrownEI_crown_fin075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User LIAM not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User schoolbrownEI_crown_NW_7075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Olivia_Gonzalez_ not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User sara_g not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User yare_rcia_1905 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User raj_brown_5 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User omar_marrossi_1241 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User James_Patel98 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User sia_kim_7287 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Noah_Muller9847 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sosia_cim_7287 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sopo4fa_57 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User MEI_BROWN_7075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User taylor_906 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User MIA_D_3668 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User MIA_KIM_4397 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User sopsia_siva_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Livia_Gonzalez_2305 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User MIA_LI_3668 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sopsia_ea557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User MIA_LI_368 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User LIVIA_GONZALEZ_2305 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Noah_Muller not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User LIAM_KHAN not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User MOHAMTTOHKME not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User MSLIAM not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sophia_silva_757 not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User LIAM_AHAN not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sofia_silva_557 not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: User sochia_s_557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Noah_Mueller_9847 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User LIAMM_AHAN not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User MIA_LI_8 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User mohamed_hrnan_dez_5188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Omar_rossi_1241 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User mohameda_silva_9265 not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: User Sophia_Taylor_9064 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_Taylor_90640 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User fochia_sia_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_Taylor_9065 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User daiki_lee_144 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User Sophia_silva_7557 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Sophia_underscore_Silva_7557 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User arif_ahmed_6699 not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: User THAN_MARTIN_2396 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User arcia_1177 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User YARA_Garcia_1905 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User YAX4ZR not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User araf_garcia_1177 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User _ara_garcia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User araf_ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User anwaye_gerci_5901 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User amelia_roxy_1297 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User amelia_doe_8890 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User _gardia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User _gargia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User _rabcia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User _sanchez_7340 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User a_a_r_a_z_g_a_r_c_i_a_1177 not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: User aaraz_ahmez_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User aarav_med_6699 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User aarav_ahmev_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User aarav_kapadia_1177 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User Sophia_Taylor_90 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_Taylor not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Sophia_Silver_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User SOPHIA_SILVA_7557 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User mohamed_hrnandez_5188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User R9PJS not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User aarav_g_k_1177 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User mohamed_hernandez_45188 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User RAJ_Sanchez_7340 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User RTIA_5901 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Raj_Sanchez_7340 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User SCHIA_EAYLOR_9065 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User mohamed_fernandez_5188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User SCHIA_TAYLOR_90 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User SOFIA_kim_7287 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User SOPHIA_CAYLOR_9065 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_ILVA not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User is_gonzales_2305 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_Kim_72287 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User mohamed_ernandez_5188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_Martin_456 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User moe_m_p_d_silva_9265 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User Sophia_Silva not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_Silva_7 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_Silva_75 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User lucas_brown_123 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User liam_khan_0501 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User kim_7287 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User kaiki_muller_1116 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User ivan_rossi_855 not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: User _ar_garcia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 51232002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User JAAmes_Lee_6136 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: New item 1434748144 not found or available,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Error: Customer with phone number 12355550023 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
