llm,domain,speech_complexity,termination_reason,count,total,proportion
openai:gpt-realtime-2025-08-28,airline,regular,agent_stop,14,50,0.28
openai:gpt-realtime-2025-08-28,airline,regular,too_many_errors,2,50,0.04
openai:gpt-realtime-2025-08-28,airline,regular,user_stop,34,50,0.68
openai:gpt-realtime-2025-08-28,retail,control,agent_stop,13,114,0.114
openai:gpt-realtime-2025-08-28,retail,control,user_stop,101,114,0.886
openai:gpt-realtime-2025-08-28,retail,control_accents,agent_stop,18,114,0.1579
openai:gpt-realtime-2025-08-28,retail,control_accents,user_stop,96,114,0.8421
openai:gpt-realtime-2025-08-28,retail,control_audio,agent_stop,15,114,0.1316
openai:gpt-realtime-2025-08-28,retail,control_audio,user_stop,99,114,0.8684
openai:gpt-realtime-2025-08-28,retail,control_behavior,agent_stop,13,114,0.114
openai:gpt-realtime-2025-08-28,retail,control_behavior,user_stop,101,114,0.886
openai:gpt-realtime-2025-08-28,retail,regular,agent_stop,21,114,0.1842
openai:gpt-realtime-2025-08-28,retail,regular,max_steps,1,114,0.0088
openai:gpt-realtime-2025-08-28,retail,regular,user_stop,92,114,0.807
openai:gpt-realtime-2025-08-28,telecom,control,agent_stop,72,114,0.6316
openai:gpt-realtime-2025-08-28,telecom,control,max_steps,5,114,0.0439
openai:gpt-realtime-2025-08-28,telecom,control,too_many_errors,18,114,0.1579
openai:gpt-realtime-2025-08-28,telecom,control,user_stop,19,114,0.1667
openai:gpt-realtime-2025-08-28,telecom,regular,agent_stop,73,114,0.6404
openai:gpt-realtime-2025-08-28,telecom,regular,max_steps,10,114,0.0877
openai:gpt-realtime-2025-08-28,telecom,regular,too_many_errors,10,114,0.0877
openai:gpt-realtime-2025-08-28,telecom,regular,user_stop,21,114,0.1842
xai:xai-realtime,airline,control,agent_stop,22,50,0.44
xai:xai-realtime,airline,control,max_steps,2,50,0.04
xai:xai-realtime,airline,control,too_many_errors,1,50,0.02
xai:xai-realtime,airline,control,user_stop,25,50,0.5
xai:xai-realtime,airline,regular,agent_stop,15,50,0.3
xai:xai-realtime,airline,regular,max_steps,8,50,0.16
xai:xai-realtime,airline,regular,too_many_errors,2,50,0.04
xai:xai-realtime,airline,regular,user_stop,25,50,0.5
xai:xai-realtime,retail,control,agent_stop,18,114,0.1579
xai:xai-realtime,retail,control,max_steps,18,114,0.1579
xai:xai-realtime,retail,control,user_stop,78,114,0.6842
xai:xai-realtime,retail,control_accents,agent_stop,23,114,0.2018
xai:xai-realtime,retail,control_accents,max_steps,36,114,0.3158
xai:xai-realtime,retail,control_accents,too_many_errors,1,114,0.0088
xai:xai-realtime,retail,control_accents,user_stop,54,114,0.4737
xai:xai-realtime,retail,control_audio,agent_stop,19,114,0.1667
xai:xai-realtime,retail,control_audio,max_steps,24,114,0.2105
xai:xai-realtime,retail,control_audio,user_stop,71,114,0.6228
xai:xai-realtime,retail,control_behavior,agent_stop,13,114,0.114
xai:xai-realtime,retail,control_behavior,max_steps,6,114,0.0526
xai:xai-realtime,retail,control_behavior,user_stop,95,114,0.8333
xai:xai-realtime,retail,regular,agent_stop,18,114,0.1579
xai:xai-realtime,retail,regular,max_steps,25,114,0.2193
xai:xai-realtime,retail,regular,too_many_errors,1,114,0.0088
xai:xai-realtime,retail,regular,user_stop,70,114,0.614
xai:xai-realtime,telecom,control,agent_stop,18,114,0.1579
xai:xai-realtime,telecom,control,max_steps,40,114,0.3509
xai:xai-realtime,telecom,control,user_stop,56,114,0.4912
xai:xai-realtime,telecom,regular,agent_stop,21,114,0.1842
xai:xai-realtime,telecom,regular,max_steps,60,114,0.5263
xai:xai-realtime,telecom,regular,user_stop,33,114,0.2895
