llm,domain,speech_complexity,provider,response_count,no_response_count,response_total,response_rate,response_latency_mean,response_latency_std,yield_count,no_yield_count,yield_total,yield_rate,yield_latency_mean,yield_latency_std,backchannel_correct_count,backchannel_error_count,backchannel_total,backchannel_error_rate,vocal_tic_correct_count,vocal_tic_error_count,vocal_tic_total,vocal_tic_error_rate,non_directed_correct_count,non_directed_error_count,non_directed_total,non_directed_error_rate
openai:gpt-realtime-1.5,airline,regular,openai,688,1,689,0.9985486211901307,1.4279069767441859,0.5845464857085082,492,0,492,1.0,0.417479674796748,0.08991594623008797,1,42,43,0.9767441860465116,5,72,77,0.935064935064935,7,91,98,0.9285714285714286
openai:gpt-realtime-1.5,retail,control,openai,948,9,957,0.9905956112852664,1.8061181434599154,0.8201298701905747,5,0,5,1.0,0.4,0.0,0,0,0,,0,0,0,,0,0,0,
openai:gpt-realtime-1.5,retail,control_accents,openai,924,12,936,0.9871794871794872,1.6935064935064934,0.7699115896402954,3,0,3,1.0,0.4000000000000001,6.798699777552591e-17,0,0,0,,0,0,0,,0,0,0,
openai:gpt-realtime-1.5,retail,control_audio,openai,959,9,968,0.9907024793388429,1.751199165797706,0.767472957205045,98,0,98,1.0,0.39591836734693875,0.09515951593821621,0,0,0,,0,0,0,,0,0,0,
openai:gpt-realtime-1.5,retail,control_behavior,openai,1585,3,1588,0.9981108312342569,1.442523659305993,0.622055643075891,1125,0,1125,1.0,0.4300444444444444,0.08800122217778854,7,102,109,0.9357798165137615,5,141,146,0.9657534246575342,9,184,193,0.9533678756476683
openai:gpt-realtime-1.5,retail,regular,openai,1450,1,1451,0.9993108201240524,1.3924137931034484,0.6071784475476854,1001,0,1001,1.0,0.4255744255744257,0.10269028535014746,3,87,90,0.9666666666666667,8,122,130,0.9384615384615385,14,152,166,0.9156626506024096
openai:gpt-realtime-1.5,telecom,control,openai,1492,1,1493,0.999330207635633,1.481501340482574,0.47154400340558417,1,0,1,1.0,0.6000000000000001,,0,0,0,,0,0,0,,0,0,0,
openai:gpt-realtime-1.5,telecom,regular,openai,2509,0,2509,1.0,1.346034276604224,0.4585589734788532,1676,2,1678,0.99880810488677,0.4145584725536994,0.07743952197679087,0,32,32,1.0,8,242,250,0.968,28,180,208,0.8653846153846154
xai:xai-realtime,airline,control,xai,335,24,359,0.9331476323119777,1.0829850746268659,0.414891281211919,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,
xai:xai-realtime,airline,regular,xai,784,80,864,0.9074074074074074,1.1765306122448969,1.2741100934972633,666,197,863,0.7717265353418308,1.1243243243243242,0.3395395952769294,10,1,11,0.09090909090909091,63,43,106,0.4056603773584906,12,49,61,0.8032786885245902
xai:xai-realtime,retail,control,xai,1086,208,1294,0.839258114374034,1.0876611418047877,0.49593244978193757,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,
xai:xai-realtime,retail,control_accents,xai,919,141,1060,0.8669811320754717,1.2974972796517956,1.2878450713594547,0,1,1,0.0,,,0,0,0,,0,0,0,,0,0,0,
xai:xai-realtime,retail,control_audio,xai,1188,246,1434,0.8284518828451883,1.1752525252525243,0.7683023354913758,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,
xai:xai-realtime,retail,control_behavior,xai,1203,152,1355,0.8878228782287823,1.0269326683291764,0.7069463883222286,796,138,934,0.8522483940042827,1.2125628140703517,0.363135146211723,83,2,85,0.023529411764705882,73,69,142,0.4859154929577465,13,67,80,0.8375
xai:xai-realtime,retail,regular,xai,1877,197,2074,0.9050144648023144,1.1152903569525843,1.1833085700883297,1437,610,2047,0.7020029311187103,1.1759220598469033,0.35405225137911156,57,4,61,0.06557377049180328,146,95,241,0.3941908713692946,34,123,157,0.7834394904458599
xai:xai-realtime,telecom,control,xai,1905,18,1923,0.9906396255850234,0.9825721784776912,0.358613544837172,0,0,0,,,,0,0,0,,0,0,0,,0,0,0,
xai:xai-realtime,telecom,regular,xai,2753,216,2969,0.9272482317278545,1.1559752996730819,1.4118405291045553,1988,553,2541,0.7823691460055097,1.1585513078470824,0.3534748262983846,16,1,17,0.058823529411764705,173,141,314,0.44904458598726116,32,112,144,0.7777777777777778
