llm,domain,persona_name,speech_complexity,pass_hat_1,pass_hat_1_std,pass_hat_2,pass_hat_2_std,pass_hat_3,pass_hat_3_std,pass_hat_4,pass_hat_4_std,pass_hat_5,pass_hat_5_std,num_tasks,num_simulations,avg_reward
gemini:gemini-live-2.5-flash-native-audio,retail,matt_delaney,control_behavior,0.4915254237288136,0.4999281763983941,,,,,,,,,59,59,0.4915254237288136
gemini:gemini-live-2.5-flash-native-audio,retail,mildred_kaplan,control_accents,0.24,0.4270831300812525,,,,,,,,,25,25,0.24
gemini:gemini-live-2.5-flash-native-audio,retail,mildred_kaplan,regular,0.4166666666666667,0.4930066485916347,,,,,,,,,24,24,0.4166666666666667
gemini:gemini-live-2.5-flash-native-audio,retail,priya_patil,control_accents,0.5416666666666666,0.4982608642958916,,,,,,,,,24,24,0.5416666666666666
gemini:gemini-live-2.5-flash-native-audio,retail,priya_patil,regular,0.23809523809523808,0.4259177099999599,,,,,,,,,21,21,0.23809523809523808
gemini:gemini-live-2.5-flash-native-audio,retail,wei_lin,control_accents,0.5416666666666666,0.4982608642958916,,,,,,,,,24,24,0.5416666666666666
gemini:gemini-live-2.5-flash-native-audio,retail,wei_lin,regular,0.4230769230769231,0.49404740687173565,,,,,,,,,26,26,0.4230769230769231
gemini:gemini-live-2.5-flash-native-audio,telecom,arjun_roy,regular,0.20833333333333334,0.4061164310337068,,,,,,,,,24,24,0.20833333333333334
gemini:gemini-live-2.5-flash-native-audio,telecom,lisa_brenner,control,0.2,0.4,,,,,,,,,60,60,0.2
gemini:gemini-live-2.5-flash-native-audio,telecom,mamadou_diallo,regular,0.21428571428571427,0.41032590332414487,,,,,,,,,28,28,0.21428571428571427
gemini:gemini-live-2.5-flash-native-audio,telecom,matt_delaney,control,0.2037037037037037,0.40275116983206566,,,,,,,,,54,54,0.2037037037037037
gemini:gemini-live-2.5-flash-native-audio,telecom,mildred_kaplan,regular,0.16666666666666666,0.372677996249965,,,,,,,,,18,18,0.16666666666666666
gemini:gemini-live-2.5-flash-native-audio,telecom,priya_patil,regular,0.0,0.0,,,,,,,,,20,20,0.0
gemini:gemini-live-2.5-flash-native-audio,telecom,wei_lin,regular,0.16666666666666666,0.372677996249965,,,,,,,,,24,24,0.16666666666666666
openai:gpt-realtime-1.5,airline,arjun_roy,regular,0.45454545454545453,0.49792959773196915,,,,,,,,,11,11,0.45454545454545453
openai:gpt-realtime-1.5,airline,lisa_brenner,control,0.45454545454545453,0.49792959773196915,,,,,,,,,22,22,0.45454545454545453
openai:gpt-realtime-1.5,airline,mamadou_diallo,regular,0.3333333333333333,0.4714045207910317,,,,,,,,,12,12,0.3333333333333333
openai:gpt-realtime-1.5,airline,matt_delaney,control,0.5,0.5,,,,,,,,,28,28,0.5
openai:gpt-realtime-1.5,airline,mildred_kaplan,regular,0.3333333333333333,0.4714045207910317,,,,,,,,,12,12,0.3333333333333333
openai:gpt-realtime-1.5,airline,priya_patil,regular,0.5,0.5,,,,,,,,,6,6,0.5
openai:gpt-realtime-1.5,airline,wei_lin,regular,0.4444444444444444,0.4969039949999533,,,,,,,,,9,9,0.4444444444444444
openai:gpt-realtime-1.5,retail,arjun_roy,control_accents,0.5555555555555556,0.4969039949999533,,,,,,,,,27,27,0.5555555555555556
openai:gpt-realtime-1.5,retail,arjun_roy,regular,0.4,0.48989794855663565,,,,,,,,,20,20,0.4
openai:gpt-realtime-1.5,retail,lisa_brenner,control,0.6607142857142857,0.47346691369867333,,,,,,,,,56,56,0.6607142857142857
openai:gpt-realtime-1.5,retail,lisa_brenner,control_audio,0.6451612903225806,0.47846441852230087,,,,,,,,,62,62,0.6451612903225806
openai:gpt-realtime-1.5,retail,lisa_brenner,control_behavior,0.43636363636363634,0.4959338798903947,,,,,,,,,55,55,0.43636363636363634
openai:gpt-realtime-1.5,retail,mamadou_diallo,control_accents,0.42857142857142855,0.49487165930539345,,,,,,,,,14,14,0.42857142857142855
openai:gpt-realtime-1.5,retail,mamadou_diallo,regular,0.30434782608695654,0.4601306627938419,,,,,,,,,23,23,0.30434782608695654
openai:gpt-realtime-1.5,retail,matt_delaney,control,0.7241379310344828,0.4469476343729559,,,,,,,,,58,58,0.7241379310344828
openai:gpt-realtime-1.5,retail,matt_delaney,control_audio,0.6538461538461539,0.47574295680203776,,,,,,,,,52,52,0.6538461538461539
openai:gpt-realtime-1.5,retail,matt_delaney,control_behavior,0.6779661016949152,0.46725588990136346,,,,,,,,,59,59,0.6779661016949152
openai:gpt-realtime-1.5,retail,mildred_kaplan,control_accents,0.64,0.48,,,,,,,,,25,25,0.64
openai:gpt-realtime-1.5,retail,mildred_kaplan,regular,0.5,0.5,,,,,,,,,24,24,0.5
openai:gpt-realtime-1.5,retail,priya_patil,control_accents,0.6666666666666666,0.4714045207910317,,,,,,,,,24,24,0.6666666666666666
openai:gpt-realtime-1.5,retail,priya_patil,regular,0.5238095238095238,0.49943278484292924,,,,,,,,,21,21,0.5238095238095238
openai:gpt-realtime-1.5,retail,wei_lin,control_accents,0.5833333333333334,0.4930066485916347,,,,,,,,,24,24,0.5833333333333334
openai:gpt-realtime-1.5,retail,wei_lin,regular,0.46153846153846156,0.4985185152621431,,,,,,,,,26,26,0.46153846153846156
openai:gpt-realtime-1.5,telecom,arjun_roy,regular,0.16666666666666666,0.372677996249965,,,,,,,,,24,24,0.16666666666666666
openai:gpt-realtime-1.5,telecom,lisa_brenner,control,0.26666666666666666,0.44221663871405337,,,,,,,,,60,60,0.26666666666666666
openai:gpt-realtime-1.5,telecom,mamadou_diallo,regular,0.2857142857142857,0.45175395145262565,,,,,,,,,28,28,0.2857142857142857
openai:gpt-realtime-1.5,telecom,matt_delaney,control,0.2962962962962963,0.4566232594791835,,,,,,,,,54,54,0.2962962962962963
openai:gpt-realtime-1.5,telecom,mildred_kaplan,regular,0.16666666666666666,0.372677996249965,,,,,,,,,18,18,0.16666666666666666
openai:gpt-realtime-1.5,telecom,priya_patil,regular,0.25,0.4330127018922193,,,,,,,,,20,20,0.25
openai:gpt-realtime-1.5,telecom,wei_lin,regular,0.16666666666666666,0.372677996249965,,,,,,,,,24,24,0.16666666666666666
xai:xai-realtime,airline,arjun_roy,regular,0.2727272727272727,0.4453617714151233,,,,,,,,,11,11,0.2727272727272727
xai:xai-realtime,airline,lisa_brenner,control,0.5909090909090909,0.49166608301781667,,,,,,,,,22,22,0.5909090909090909
xai:xai-realtime,airline,mamadou_diallo,regular,0.3333333333333333,0.47140452079103173,,,,,,,,,12,12,0.3333333333333333
xai:xai-realtime,airline,matt_delaney,control,0.35714285714285715,0.47915742374995496,,,,,,,,,28,28,0.35714285714285715
xai:xai-realtime,airline,mildred_kaplan,regular,0.5,0.5,,,,,,,,,12,12,0.5
xai:xai-realtime,airline,priya_patil,regular,0.3333333333333333,0.4714045207910317,,,,,,,,,6,6,0.3333333333333333
xai:xai-realtime,airline,wei_lin,regular,0.3333333333333333,0.4714045207910317,,,,,,,,,9,9,0.3333333333333333
xai:xai-realtime,retail,arjun_roy,control_accents,0.037037037037037035,0.18885257457751053,,,,,,,,,27,27,0.037037037037037035
xai:xai-realtime,retail,arjun_roy,regular,0.0,0.0,,,,,,,,,20,20,0.0
xai:xai-realtime,retail,lisa_brenner,control,0.42857142857142855,0.49487165930539345,,,,,,,,,56,56,0.42857142857142855
xai:xai-realtime,retail,lisa_brenner,control_audio,0.41935483870967744,0.49345350131543075,,,,,,,,,62,62,0.41935483870967744
xai:xai-realtime,retail,lisa_brenner,control_behavior,0.45454545454545453,0.49792959773196915,,,,,,,,,55,55,0.45454545454545453
xai:xai-realtime,retail,mamadou_diallo,control_accents,0.42857142857142855,0.49487165930539345,,,,,,,,,14,14,0.42857142857142855
xai:xai-realtime,retail,mamadou_diallo,regular,0.30434782608695654,0.4601306627938419,,,,,,,,,23,23,0.30434782608695654
xai:xai-realtime,retail,matt_delaney,control,0.5344827586206896,0.49880952212032525,,,,,,,,,58,58,0.5344827586206896
xai:xai-realtime,retail,matt_delaney,control_audio,0.4807692307692308,0.49963004064486843,,,,,,,,,52,52,0.4807692307692308
xai:xai-realtime,retail,matt_delaney,control_behavior,0.559322033898305,0.49646842426701043,,,,,,,,,59,59,0.559322033898305
xai:xai-realtime,retail,mildred_kaplan,control_accents,0.4,0.48989794855663565,,,,,,,,,25,25,0.4
xai:xai-realtime,retail,mildred_kaplan,regular,0.6666666666666666,0.4714045207910317,,,,,,,,,24,24,0.6666666666666666
xai:xai-realtime,retail,priya_patil,control_accents,0.16666666666666666,0.372677996249965,,,,,,,,,24,24,0.16666666666666666
xai:xai-realtime,retail,priya_patil,regular,0.23809523809523808,0.4259177099999599,,,,,,,,,21,21,0.23809523809523808
xai:xai-realtime,retail,wei_lin,control_accents,0.5,0.5,,,,,,,,,24,24,0.5
xai:xai-realtime,retail,wei_lin,regular,0.5384615384615384,0.4985185152621431,,,,,,,,,26,26,0.5384615384615384
xai:xai-realtime,telecom,arjun_roy,regular,0.25,0.4330127018922193,,,,,,,,,24,24,0.25
xai:xai-realtime,telecom,lisa_brenner,control,0.6,0.48989794855663565,,,,,,,,,60,60,0.6
xai:xai-realtime,telecom,mamadou_diallo,regular,0.39285714285714285,0.48838551182776235,,,,,,,,,28,28,0.39285714285714285
xai:xai-realtime,telecom,matt_delaney,control,0.5555555555555556,0.4969039949999533,,,,,,,,,54,54,0.5555555555555556
xai:xai-realtime,telecom,mildred_kaplan,regular,0.4444444444444444,0.4969039949999533,,,,,,,,,18,18,0.4444444444444444
xai:xai-realtime,telecom,priya_patil,regular,0.3,0.45825756949558394,,,,,,,,,20,20,0.3
xai:xai-realtime,telecom,wei_lin,regular,0.625,0.4841229182759271,,,,,,,,,24,24,0.625
